total_bill,sex,smoker,day,time,size,tip
12.16,1.00,Yes,Friday,Lunch,2,2.2
21.5,1.00,No,Sunday,Dinner,4,3.5
10.33,0.00,No,Thursday,Lunch,2,2
14.78,1.00,No,Sunday,Dinner,2,3.23
18.04,1.00,No,Sunday,Dinner,2,3
26.88,1.00,No,Sunday,Dinner,4,3.12
34.83,0.00,No,Thursday,Lunch,4,5.17
23.33,1.00,Yes,Sunday,Dinner,2,5.65
12.46,1.00,No,Friday,Dinner,2,1.5
21.7,1.00,No,Saturday,Dinner,2,4.3
10.27,1.00,No,Sunday,Dinner,2,1.71
29.8,0.00,No,Thursday,Lunch,6,4.2
32.9,1.00,Yes,Sunday,Dinner,2,3.11
15.81,1.00,Yes,Saturday,Dinner,2,3.16
38.73,1.00,Yes,Saturday,Dinner,4,3
21.01,1.00,Yes,Friday,Dinner,2,3
20.29,1.00,Yes,Saturday,Dinner,2,3.21
16.45,0.00,No,Saturday,Dinner,2,2.47
50.81,1.00,Yes,Saturday,Dinner,3,10
11.87,0.00,No,Thursday,Lunch,2,1.63
15.06,0.00,No,Saturday,Dinner,2,3
12.6,1.00,Yes,Saturday,Dinner,2,1
28.97,1.00,Yes,Friday,Dinner,2,3
18.29,1.00,No,Sunday,Dinner,2,3
7.25,1.00,Yes,Sunday,Dinner,2,5.15
19.77,1.00,No,Sunday,Dinner,4,2
28.44,1.00,Yes,Thursday,Lunch,2,2.56
7.56,1.00,No,Thursday,Lunch,2,1.44
15.04,1.00,No,Sunday,Dinner,2,1.96
22.75,0.00,No,Friday,Dinner,2,3.25
24.06,1.00,No,Saturday,Dinner,3,3.6
20.53,1.00,Yes,Thursday,Lunch,4,4
20.65,1.00,No,Saturday,Dinner,3,3.35
12.69,1.00,No,Saturday,Dinner,2,2
30.06,1.00,Yes,Saturday,Dinner,3,2
29.85,0.00,No,Sunday,Dinner,5,5.14
24.71,1.00,No,Thursday,Lunch,2,5.85
19.81,0.00,Yes,Thursday,Lunch,2,4.19
48.27,1.00,No,Saturday,Dinner,4,6.73
26.59,1.00,Yes,Saturday,Dinner,3,3.41
40.17,1.00,Yes,Friday,Dinner,4,4.73
17.51,0.00,Yes,Sunday,Dinner,2,3
16.04,1.00,No,Saturday,Dinner,3,2.24
10.65,0.00,No,Thursday,Lunch,2,1.5
13.81,1.00,No,Sunday,Dinner,2,2
14.52,0.00,No,Thursday,Lunch,2,2
19.82,1.00,No,Saturday,Dinner,2,3.18
14.26,1.00,No,Thursday,Lunch,2,2.5
16.4,0.00,Yes,Thursday,Lunch,2,2.5
20.29,0.00,No,Saturday,Dinner,2,2.75
34.63,1.00,Yes,Sunday,Dinner,2,3.55
22.42,0.00,Yes,Saturday,Dinner,2,3.48
16.58,1.00,Yes,Thursday,Lunch,2,4
20.76,1.00,No,Sunday,Dinner,2,2.24
7.25,0.00,No,Saturday,Dinner,1,1
14.73,0.00,No,Saturday,Dinner,2,2.2
25.21,1.00,Yes,Saturday,Dinner,2,4.29
11.24,1.00,Yes,Saturday,Dinner,2,1.76
24.27,1.00,Yes,Saturday,Dinner,2,2.03
16.31,1.00,No,Saturday,Dinner,3,2
18.64,0.00,No,Thursday,Lunch,3,1.36
22.23,1.00,No,Sunday,Dinner,2,5
16.21,0.00,No,Sunday,Dinner,3,2
16.43,0.00,No,Thursday,Lunch,2,2.3
15.42,1.00,No,Sunday,Dinner,2,1.57
31.85,1.00,Yes,Sunday,Dinner,2,3.18
12.43,0.00,No,Thursday,Lunch,2,1.8
